cat,truck,(2.3520612580296425+6.243919570014339e-05j),(0.6907458545875699+1.4447934721921704e-05j),(0.6211885575180278-3.7462280852823397e-06j)
deer,deer,(1.8104037774358675e-05+0.020414819935271097j),(0.0001133304290616982+0.018099777941056352j),(2.7833754796751837e-05+0.017641111748384633j)
deer,dog,(2.2846012874841497-9.080982694926578e-07j),(0.669784826886914-3.930603606149306e-06j),(0.5509331297523371+2.71023847443695e-06j)
deer,frog,(2.3876559752537263+2.6990161513747925e-07j),(0.7999886878204662-1.4636712317654332e-06j),(0.5900403675359052+5.259099333980088e-06j)
deer,horse,(2.4540643005787266-2.81943105295258e-07j),(0.8055256287025165+1.0048599060345803e-06j),(0.6120858849059606+6.483737206570803e-06j)
deer,ship,(2.34512445863641-7.565411803859042e-07j),(0.7270628896510921+3.1616815429957638e-06j),(0.5658193165408603-1.9084924057671996e-06j)
deer,truck,(2.6683101153476065+2.011168009078409e-06j),(0.7913313993336083+2.0449474300477744e-06j),(0.6117716910338656-1.5468432939949666e-06j)
dog,dog,(0.0008484011078746985+0.3857873466650129j),(0.0006854534885836287-0.06867640096740915j),(0.3450351499496374-2.2756897905319965e-05j)
dog,frog,(2.1027266064643317-3.892359191636457e-05j),(0.7121851598818711+3.0218005966193273e-05j),(0.5968897104005249+2.691850997842913e-06j)
dog,horse,(2.227159874982861+8.305067914600689e-05j),(0.691157370294351+6.324344880909397e-05j),(0.6089783438795834+3.06246485964884e-06j)
dog,ship,(2.132033719755631+9.825533055255138e-05j),(0.6886333512005929+8.898182649777503e-08j),(0.5875742228536849+3.6213765474021936e-06j)
dog,truck,(2.3867226081133066-1.543463019649481e-05j),(0.7040648285594511-6.486064268366846e-06j),(0.615106932003188+9.756764254532553e-06j)
frog,frog,(0.00031496822302779014+0.40466770144952935j),(0.00026381505805832587-0.07908175028748655j),(0.21167428132081836-3.569156866056404e-05j)
frog,horse,(2.1842087958789955-6.403176557913445e-05j),(0.7905700771542026+4.271290744105601e-05j),(0.6415340194627299+4.89721346329606e-06j)
frog,ship,(2.207162893155495-0.00014426199418363255j),(0.7592117006940409-0.000100282920353012j),(0.6198132224757519+5.170515168649321e-06j)
frog,truck,(2.4440127077979104+4.8084432204659834e-05j),(0.802471543464673+2.2041875061062915e-05j),(0.6636578873397267-1.2525380163881765e-06j)
horse,horse,(0.00022046285602047322+0.4314705278858719j),(0.0009978324250821673+0.07890826320532547j),(0.2096562695803286+0.00010578573955940106j)
horse,ship,(2.2198407164241103+5.50031937544054e-05j),(0.7732581461704948-7.041620744588847e-06j),(0.6306057614764969+1.833008168287657e-05j)
horse,truck,(2.400750553736584-2.892739578618148e-05j),(0.7882235630781702-3.9057723715601806e-05j),(0.6567218232992693-5.05886277322228e-06j)
ship,ship,(0.0004210441293956219+0.3823136512216238j),(0.0006396387166491812+0.0703446655541176j),(0.3010009135746784-5.9956560302009616e-05j)
ship,truck,(2.2473516413743457-0.00010520818592320675j),(0.7369731446371546-1.144218827721354e-05j),(0.6071038784239661-1.0519216947737502e-05j)
truck,truck,(0.0005884314929439642+0.47795241842141567j),(0.0001805730346596269+0.0859386977600274j),(0.2959419314812605+0.000115058960573575j)
car,car,(0.0002287985561538642-0.38304842849735415j),(0.00019077824492888388-0.07739477936427284j),(0.25500009970041926-7.446059185739445e-05j)
car,car,(0.0002287985561538642-0.38304842849735415j),(0.00019077824492888388-0.07739477936427284j),(0.25500009970041926-7.446059185739445e-05j)
